anime title,number of episodes
"Don't Toy with Me, Miss Nagatoro",12
Heavenly Delusion,10
Berserk (1997),25
Summoned to Another World for a Second Time,9
Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,12
Wise Man's Grandchild,12
The Irregular at Magic High School,26
Record of Ragnarok,12
Kuroko's Basketball,25
A Silent Voice,1
Tower of God,13
"Don't Toy with Me, Miss Nagatoro 2nd Season",12
Pokémon,276
Soul Eater,51
Demon Slayer: Mt. Natagumo Arc,1
Fruits Basket 1st Season,25
"The Fruit of Evolution: Before I Knew It, My Life Had It Made (2021)",12
Assassination Classroom Second Season,25
Tokyo Ghoul:re 2nd Season,12
The Last Summoner,12
Chivalry of a Failed Knight,12
The Disastrous Life of Saiki K.,24
Spirit Chronicles,12
